Participante,Data de nascimento,Ocupação,Origem,Resultado,Ref.
Gecilda da Silva dos Santos (Cida),26/02/1983,Babá,"Mangaratiba, Rio de Janeiro",Vencedoraem 6 de abril de 2004,[4]
Thiago Lira dos Santos,08/06/1982,Auxiliar de contas,"São Gonçalo, Rio de Janeiro",2º lugarem 6 de abril de 2004,[5]
Juliana Lopes Leite,09/07/1980,Promotora de eventos,"Brasília, Distrito Federal",12ª eliminadaem 4 de abril de 2004,[6]
Solange Cristina Couto Maria,18/06/1978,Frentista,"Mogi Guaçu, São Paulo",11ª eliminadaem 30 de março de 2004,[7]
Marcela de Mello Queiroz,22/03/1978,Promotora de eventos,"Londrina, Paraná",10ª eliminadaem 23 de março de 2004,[8]
Rogério de Paulo Dragone,12/08/1978,Coveiro,"São Paulo, São Paulo",9º eliminadoem 16 de março de 2004,[9]
Marcelo Pereira Dourado,29/04/1972,Lutador,"Porto Alegre, Rio Grande do Sul",8º eliminadoem 9 de março de 2004,[10]
Marcelo dos Santos Martins Gomes (Zulu),27/12/1980,Lutador,"Niterói, Rio de Janeiro",7º eliminadoem 2 de março de 2004,[11]
Edílson Buba,11/12/1971[nota 1],Empresário,"Curitiba, Paraná",6º eliminadoem 24 de fevereiro de 2004,[13]
Maria Gerislânia Leite de Sousa (Géris),14/11/1973,Enfermeira,"Cajazeiras, Paraíba",5ª eliminadaem 17 de fevereiro de 2004,[14]
Antonela Avellaneda,22/10/1982,Modelo,"La Plata, Buenos Aires",4ª eliminadaem 10 de fevereiro de 2004,[15]
Cristiano Giuseppe Carnevale,03/05/1974,Gerente,"Rio de Janeiro, Rio de Janeiro",3º eliminadoem 3 de fevereiro de 2004,[16]
Eduardo Monteiro Pinto Coelho,22/04/1979,Publicitário,"Belo Horizonte, Minas Gerais",2º eliminadoem 27 de janeiro de 2004,[17]
Tatiana Milesi Giordano,01/04/1982,Lutadora,"São Paulo, São Paulo",1ª eliminadaem 20 de janeiro de 2004,[18]
