Participante,Data denascimento,Ocupação,Origem,Resultado,Ref.
Thelma Regina Maria dos Santos Assis,18/11/1984,Médica anestesiologista,"São Paulo, São Paulo",Vencedoraem 27 de abril de 2020,[157]
Rafaella Freitas Ferreira de Castro Matthaus (Rafa Kalimann),02/04/1993,Influenciadora digital,"Campina Verde, Minas Gerais",2º lugarem 27 de abril de 2020,[158]
Manoela Latini Gavassi Francisco (Manu),04/01/1993,Atriz e Cantora,"São Paulo, São Paulo",3º lugarem 27 de abril de 2020,[159]
Alexandre da Silva Santana (Babu),10/12/1979,Ator,"Rio de Janeiro, Rio de Janeiro",17º eliminadoem 25 de abril de 2020,[160]
Mariana Decânio Gonzalez (Mari),16/02/1994,Influenciadora digital,"Salvador, Bahia",16ª eliminadaem 21 de abril de 2020,[161]
Ivy Moraes Barbosa,25/04/1992,Modelo,"Belo Horizonte, Minas Gerais",15ª eliminadaem 19 de abril de 2020,[162]
Gizelly Bicalho Abreu,16/10/1991,Advogada criminalista,"Iúna, Espírito Santo",14ª eliminadaem 14 de abril de 2020,[163]
Flayslane Raiane Pereira da Silva,19/10/1994,Cantora,"Nova Floresta, Paraíba",13ª eliminadaem 12 de abril de 2020,[164]
Marcela Olmedo Mc Gowan,25/11/1988,Ginecologista e Obstetra,"Rancharia, São Paulo",12ª eliminadaem 7 de abril de 2020,[165]
Gabriela Piedade Martins (Gabi),12/12/1996,Cantora,"Belo Horizonte, Minas Gerais",11ª eliminadaem 5 de abril de 2020,[166]
Felipe Antoniazzi Prior,18/06/1992,Arquiteto,"São Paulo, São Paulo",10º eliminadoem 31 de março de 2020,[167]
Daniel Xavier Lenhardt,29/04/1997,Ator e Modelo,"Selbach, Rio Grande do Sul",9º eliminadoem 24 de março de 2020,[168]
Jaime Young-Lae Cho (Pyong Lee),23/09/1992,Hipnólogo e YouTuber,"São Paulo, São Paulo",8º eliminadoem 17 de março de 2020,[169]
Victor Hugo Silva Teixeira,14/02/1994,Cientista de saúde pública e Psicólogo,"Imperatriz, Maranhão",7º eliminadoem 10 de março de 2020,[170]
Guilherme Napolitano Camargo Mariotto Pieroni,08/03/1991,Modelo e Jornalista,"Presidente Prudente, São Paulo",6º eliminadoem 3 de março de 2020,[171]
Bianca Andrade da Silva (Boca Rosa),15/10/1994,Empresária e Influenciadora digital,"Rio de Janeiro, Rio de Janeiro",5ª eliminadaem 25 de fevereiro de 2020,[172]
Lucas Becker Gallina,10/04/1993,Fisioterapeuta,"Florianópolis, Santa Catarina",4º eliminadoem 18 de fevereiro de 2020,[173]
Hadson da Silva Nery,04/08/1981,Ex-jogador de futebol,"Belém, Pará",3º eliminadoem 11 de fevereiro de 2020,[174]
Petrix Stevan Aguiar Barbosa,05/03/1992,Ginasta,"São Paulo, São Paulo",2º eliminadoem 4 de fevereiro de 2020,[175]
Lucas Yan Cabral Azeredo Chianca (Chumbo),25/08/1995,Surfista profissional,"Saquarema, Rio de Janeiro",1º eliminadoem 28 de janeiro de 2020,[176]
