,Participante,Data de nascimento,Ocupação,Origem,Posição,Signo,Estado,Região,Idade,Sexo,Sexualidade
0,Kleber de Paula Pedra,14/02/1978,Dançarino,"Campinas, São Paulo",1,aquario,São Paulo,Sudeste,23,0,0
1,Vanessa Melanie Pascale Ekypenyong Walborn,28/11/1974,Modelo,"Rio de Janeiro, Rio de Janeiro",2,sagitario,Rio de Janeiro,Sudeste,27,1,0
2,André Batista de Carvalho,28/11/1974,Professor de canto,"Rio de Janeiro, Rio de Janeiro",3,sagitario,Rio de Janeiro,Sudeste,27,0,1
3,Antonio Sergio Tavares Campo,06/12/1972,Cabeleireiro,Angola,4,sagitario,unknown,unknown,29,0,0
4,Alessandra Begliomini,05/12/1974,Empresária,"São Paulo, São Paulo",5,sagitario,São Paulo,Sudeste,27,1,0
5,Estela Padilha,27/09/1978,Videografista,"São Paulo, São Paulo",6,libra,São Paulo,Sudeste,23,1,0
6,Adriano Luiz Ramos de Castro,23/10/1968,Artista plástico,"Salvador, Bahia",7,escorpiao,Bahia,Nordeste,33,0,0
7,Helena Louro,21/06/1976,Atriz,"Maringá, Paraná",8,cancer,Paraná,Sul,25,1,0
8,Cristiana Carvalho Mota Machado,07/12/1974,Cantora,"Rio de Janeiro, Rio de Janeiro",9,sagitario,Rio de Janeiro,Sudeste,27,1,0
9,Bruno Saladini Trautvetter,10/03/1976,Modelo,"Rio de Janeiro, Rio de Janeiro",10,peixes,Rio de Janeiro,Sudeste,25,0,0
10,Cristiane Souza Dantas (Xaiane),21/12/1975,Barwoman,"Rio de Janeiro, Rio de Janeiro",11,sagitario,Rio de Janeiro,Sudeste,26,1,0
11,Caetano Zonaro,20/06/1961,Modelo,"São Paulo, São Paulo",12,gemeos,São Paulo,Sudeste,40,0,0
